Ano;Valorização média do imóvel no Brasil;Retorno médio anual do aluguel;Ganho total do investimento em imóvel;Rendimento da poupança;Rendimento do CDI
2009;19.80;6.70%;26.40%;6.30%;9.90%
2010;21.90;6.30%;28.20%;6.10%;9.80%
2011;24.90;5.90%;30.80%;6.70%;11.60%
2012;11.90;5.60%;17.40%;5.50%;8.50%
2013;12.70;5.40%;18.10%;5.10%;8.20%
2014;5.90;5.20%;11.00%;6.30%;10.90%
2015;0.90;4.90%;5.90%;7.10%;13.30%
2016;0.70;4.70%;5.40%;7.40%;14.00%
2017;-0.50;4.60%;4.10%;6.10%;10.00%
2018;-0.20;4.70%;4.50%;4.30%;6.40%
2019;-0.10;4.90%;4.70%;4.10%;5.90%
2020;-0.60;;;;
2021;5.29;;;;
2022; 6.12;;;;
